index,teks,aspek,sentimen,waktu
0,pencariannya lama banget padahal banyak yg online,Kinerja Aplikasi (Error/Bug/Lambat),Negatif,2025-02-28 23:45:49
1,pencariannya lama banget padahal banyak yg online,Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 23:45:49
2,slalu pakai maxim,Umum,Positif,2025-02-28 23:00:33
3,bagus pelayanan nya orangnya ramah,Perilaku & Profesionalisme Driver,Positif,2025-02-28 22:55:05
4,"nyari alamat susah banget, udah ku tulis sejelas jelasnya tetp nggak ada, padahal toko² di sekitarnya ada. kemarin mau ke seblak bestie yg ada di jaten ku cari nggak ada samsek alamatnya padahal alamat toko di dekatnya ada. udah coba pake alamat yang di salin dari google juga tetap nggak ada. semoga segera ada perbaikan",Akurasi GPS & Peta,Negatif,2025-02-28 22:52:00
5,asik lah pokoknya..jangan kapok ya bang,Umum,Positif,2025-02-28 22:50:23
6,sangat nyaman saat di perjalanan,Umum,Positif,2025-02-28 22:47:43
7,pelayanan yg bagus,Umum,Positif,2025-02-28 22:36:43
8,mas drivernya mantap👍🏻,Perilaku & Profesionalisme Driver,Positif,2025-02-28 22:31:04
9,sudah instal dan uninstall yang kesekian x nya...pesan maxim car selalu ditolak ma drivernya...padahal di map terlihat banyak driver terdekat.. harga juga tiba² berubah dari tarif awal tolong diperbaiki lg,Pembatalan oleh Driver,Negatif,2025-02-28 21:57:07
10,sudah instal dan uninstall yang kesekian x nya...pesan maxim car selalu ditolak ma drivernya...padahal di map terlihat banyak driver terdekat.. harga juga tiba² berubah dari tarif awal tolong diperbaiki lg,Akurasi GPS & Peta,Netral,2025-02-28 21:57:07
11,sudah instal dan uninstall yang kesekian x nya...pesan maxim car selalu ditolak ma drivernya...padahal di map terlihat banyak driver terdekat.. harga juga tiba² berubah dari tarif awal tolong diperbaiki lg,Harga & Tarif,Negatif,2025-02-28 21:57:07
12,sangat luar biasa,Umum,Positif,2025-02-28 21:51:14
13,si bapak nya baik dan ramah,Perilaku & Profesionalisme Driver,Positif,2025-02-28 21:50:05
14,"masa penumpang di turunin tengah jalan malam"" tujuan masih jauhh 03:12 no pol motornya b 5583 tca",Perilaku & Profesionalisme Driver,Negatif,2025-02-28 20:19:34
15,sangat membantu,Umum,Positif,2025-02-28 19:10:09
16,keren tau jalan bener,Akurasi GPS & Peta,Positif,2025-02-28 18:58:38
17,kadang di map maxim gak ada tempat yg kita tuju,Akurasi GPS & Peta,Negatif,2025-02-28 18:12:01
18,kecewa dengan maxim pesan food ga ada yg mau ambil,Ketersediaan Driver (Lama Menunggu),Negatif,2025-02-28 17:55:11
19,kecewa dengan maxim pesan food ga ada yg mau ambil,Kualitas Layanan Pesan Antar (Food/Delivery),Negatif,2025-02-28 17:55:11
20,"terimakasih,tetap jaga kesehatan,selamat berpuasa",Umum,Positif,2025-02-28 17:31:10
21,pelayanan baik,Umum,Positif,2025-02-28 17:30:08
22,best bgt abangnya baik,Perilaku & Profesionalisme Driver,Positif,2025-02-28 17:21:28
