index,word
0,pencarian
0,banget
0,online
1,pencarian
1,banget
1,online
2,slalu
2,pakai
2,maxim
3,bagus
3,pelayanan
3,orang
3,ramah
4,nyari
4,alamat
4,susah
4,banget
4,udah
4,tulis
4,sejelas
4,tetp
4,nggak
4,toko
4,kemarin
4,seblak
4,bestie
4,jaten
4,cari
4,nggak
4,samsek
4,alamat
4,alamat
4,toko
4,dekat
4,udah
4,coba
4,pake
4,alamat
4,salin
4,google
4,nggak
4,semoga
4,perbaikan
5,asik
5,kapok
5,bang
6,sangat
6,nyaman
6,perjalanan
7,pelayanan
7,bagus
8,driver
8,mantap
9,instal
9,uninstal
9,kesekian
9,nyapesan
9,maxim
9,ditolak
9,driver
9,terdekat
9,harga
9,tiba
9,berubah
9,tarif
9,tolong
9,diperbaiki
10,instal
10,uninstal
10,kesekian
10,nyapesan
10,maxim
10,ditolak
10,driver
10,terdekat
10,harga
10,tiba
10,berubah
10,tarif
10,tolong
10,diperbaiki
11,instal
11,uninstal
11,kesekian
11,nyapesan
11,maxim
11,ditolak
11,driver
11,terdekat
11,harga
11,tiba
11,berubah
11,tarif
11,tolong
11,diperbaiki
12,sangat
13,ramah
14,penumpang
14,turunin
14,jalan
14,malam
14,tujuan
14,jauh
14,motor
15,sangat
15,membantu
16,keren
16,jalan
16,bener
17,kadang
17,maxim
17,tuju
18,kecewa
18,maxim
18,pesan
18,food
18,ambil
19,kecewa
19,maxim
19,pesan
19,food
19,ambil
20,jaga
20,berpuasa
21,pelayanan
22,best
22,abang
23,pelayan
23,cepat
23,sopan
23,semangat
23,maxsim
24,pelayan
24,cepat
24,sopan
24,semangat
24,maxsim
25,mengecewakan
25,order
25,maxim
25,food
25,driver
25,talangan
25,ditransfer
25,makanan
25,ngga
25,dianter
26,mengecewakan
26,order
26,maxim
26,food
26,driver
26,talangan
26,ditransfer
26,makanan
26,ngga
26,dianter
27,cepat
27,mantapb
28,driver
28,mantap
28,hati
29,bagus
29,inisaya
29,urgen
29,milih
29,maxim
29,karna
29,ngikutin
29,biaya
29,mobil
29,ambil
29,orderan
29,driver
29,aktif
29,bagus
29,maximorng
29,udah
29,sekarat
29,orderan
29,nyangkutl
30,bagus
30,inisaya
30,urgen
30,milih
30,maxim
30,karna
30,ngikutin
30,biaya
30,mobil
30,ambil
30,orderan
30,driver
30,aktif
30,bagus
30,maximorng
30,udah
30,sekarat
30,orderan
30,nyangkutl
31,driver
31,mengerti
31,hafal
31,jalan
31,emang
31,google
31,maps
31,tidak
31,membantu
31,menyesatkan
31,tapi
31,tidak
31,maxim
31,memperketat
31,menyeleksi
31,driver
31,betul
31,mengerti
31,hafal
31,jalan
31,adakan
31,sekolah
31,mengemudi
31,driver
31,biar
31,ngerti
31,jalan
32,driver
32,mengerti
32,hafal
32,jalan
32,emang
32,google
32,maps
32,tidak
32,membantu
32,menyesatkan
32,tapi
32,tidak
32,maxim
32,memperketat
32,menyeleksi
32,driver
32,betul
32,mengerti
32,hafal
32,jalan
32,adakan
32,sekolah
32,mengemudi
32,driver
32,biar
32,ngerti
32,jalan
33,dipesan
33,dilokasi
34,sangat
34,puas
34,poko
34,mantap
35,ramah
35,selamat
35,rumah
35,terimakasih
36,ramah
36,selamat
36,rumah
36,terimakasih
37,ramah
38,ramah
39,alhamdulillah
39,selamat
39,tujuan
40,driver
40,ramah
41,bapak
41,ramah
41,sopan
41,nyaman
41,nyetir
41,bawa
41,nyaman
42,driver
42,ramah
42,asik
43,bapak
43,ramah
43,helm
43,nyaman
43,wangi
44,bapak
44,ramah
44,helm
44,nyaman
44,wangi
45,tolong
45,khusus
45,kota
45,sorong
45,kabupaten
45,sorong
45,driver
45,makan
45,istirahat
45,tidak
45,melayani
45,konsumen
45,aplikasi
45,matikan
45,siang
45,driver
45,motor
45,batal
45,main
45,main
45,aplikasi
45,siang
45,buka
45,ulah
45,sendiri
45,mohon
45,himbau
45,driver
45,motor
45,marahi
45,pelayanan
45,maxim
45,motor
45,batalkan
45,alasan
45,bocor
45,alasan
45,makan
46,tolong
46,khusus
46,kota
46,sorong
46,kabupaten
46,sorong
46,driver
46,makan
46,istirahat
46,tidak
46,melayani
46,konsumen
46,aplikasi
46,matikan
46,siang
46,driver
46,motor
46,batal
46,main
46,main
46,aplikasi
46,siang
46,buka
46,ulah
46,sendiri
46,mohon
46,himbau
46,driver
46,motor
46,marahi
46,pelayanan
46,maxim
46,motor
46,batalkan
46,alasan
46,bocor
46,alasan
46,makan
47,tolong
47,khusus
47,kota
47,sorong
47,kabupaten
47,sorong
47,driver
47,makan
47,istirahat
47,tidak
47,melayani
47,konsumen
47,aplikasi
47,matikan
